"REF_DATE","GEO","DGUID","Age group","Sex","Severity of disability","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Total, 15 years and over","Total, both sexes","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317146","1.1.1.1.1","6246640","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Total, both sexes","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317147","1.1.1.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Total, both sexes","Mild ","Number of persons","Number","223","units ","0","v1035317148","1.1.1.2.1","2324430","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Total, both sexes","Mild ","Percentage of persons","Percent","239","units ","0","v1035317149","1.1.1.2.2","37.2","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Total, both sexes","Moderate ","Number of persons","Number","223","units ","0","v1035317150","1.1.1.3.1","1242910","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Total, both sexes","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317151","1.1.1.3.2","19.9","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Total, both sexes","Severe ","Number of persons","Number","223","units ","0","v1035317152","1.1.1.4.1","1295660","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Total, both sexes","Severe ","Percentage of persons","Percent","239","units ","0","v1035317153","1.1.1.4.2","20.7","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Total, both sexes","Very severe ","Number of persons","Number","223","units ","0","v1035317154","1.1.1.5.1","1383630","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Total, both sexes","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317155","1.1.1.5.2","22.1","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Male","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317156","1.1.2.1.1","2763540","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Male","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317157","1.1.2.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Male","Mild ","Number of persons","Number","223","units ","0","v1035317158","1.1.2.2.1","1077040","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Male","Mild ","Percentage of persons","Percent","239","units ","0","v1035317159","1.1.2.2.2","39.0","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Male","Moderate ","Number of persons","Number","223","units ","0","v1035317160","1.1.2.3.1","569220","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Male","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317161","1.1.2.3.2","20.6","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Male","Severe ","Number of persons","Number","223","units ","0","v1035317162","1.1.2.4.1","538910","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Male","Severe ","Percentage of persons","Percent","239","units ","0","v1035317163","1.1.2.4.2","19.5","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Male","Very severe ","Number of persons","Number","223","units ","0","v1035317164","1.1.2.5.1","578380","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Male","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317165","1.1.2.5.2","20.9","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Female","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317166","1.1.3.1.1","3483090","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Female","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317167","1.1.3.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Female","Mild ","Number of persons","Number","223","units ","0","v1035317168","1.1.3.2.1","1247400","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Female","Mild ","Percentage of persons","Percent","239","units ","0","v1035317169","1.1.3.2.2","35.8","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Female","Moderate ","Number of persons","Number","223","units ","0","v1035317170","1.1.3.3.1","673690","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Female","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317171","1.1.3.3.2","19.3","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Female","Severe ","Number of persons","Number","223","units ","0","v1035317172","1.1.3.4.1","756760","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Female","Severe ","Percentage of persons","Percent","239","units ","0","v1035317173","1.1.3.4.2","21.7","","","","1"
"2017","Canada","2016A000011124","Total, 15 years and over","Female","Very severe ","Number of persons","Number","223","units ","0","v1035317174","1.1.3.5.1","805250","","","","0"
"2017","Canada","2016A000011124","Total, 15 years and over","Female","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317175","1.1.3.5.2","23.1","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Total, both sexes","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317176","1.2.1.1.1","4274330","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Total, both sexes","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317177","1.2.1.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Total, both sexes","Mild ","Number of persons","Number","223","units ","0","v1035317178","1.2.1.2.1","1764480","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Total, both sexes","Mild ","Percentage of persons","Percent","239","units ","0","v1035317179","1.2.1.2.2","41.3","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Total, both sexes","Moderate ","Number of persons","Number","223","units ","0","v1035317180","1.2.1.3.1","832380","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Total, both sexes","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317181","1.2.1.3.2","19.5","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Total, both sexes","Severe ","Number of persons","Number","223","units ","0","v1035317182","1.2.1.4.1","834610","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Total, both sexes","Severe ","Percentage of persons","Percent","239","units ","0","v1035317183","1.2.1.4.2","19.5","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Total, both sexes","Very severe ","Number of persons","Number","223","units ","0","v1035317184","1.2.1.5.1","842860","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Total, both sexes","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317185","1.2.1.5.2","19.7","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Male","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317186","1.2.2.1.1","1900290","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Male","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317187","1.2.2.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Male","Mild ","Number of persons","Number","223","units ","0","v1035317188","1.2.2.2.1","812750","","","","0"
